date,action,price,capital,reason,entry_price,pnl,pnl_ratio
2020-03-06,OPEN_SHORT,9122.5458984375,100000.0,MA20/50 Death Cross,,,
2020-03-12,CLOSE_SHORT,4970.7880859375,145510.95558983274,Take Profit,9122.5458984375,45510.95558983275,0.4551095558983275
2020-04-19,OPEN_LONG,7189.4248046875,145510.95558983274,MA20/50 Golden Cross,,,
2020-04-29,CLOSE_LONG,8801.0380859375,178129.33535827466,Take Profit,7189.4248046875,32618.379768441937,0.2241644255322386
2020-06-29,OPEN_SHORT,9190.8544921875,178129.33535827466,MA20/50 Death Cross,,,
2020-07-25,CLOSE_SHORT,9677.11328125,168705.0805208763,Stop Loss,9190.8544921875,-9424.254837398372,-0.05290680964167526
2020-09-09,OPEN_SHORT,10242.34765625,168705.0805208763,MA20/50 Death Cross,,,
2020-09-15,CLOSE_SHORT,10796.951171875,159570.023412794,Stop Loss,10242.34765625,-9135.057108082305,-0.05414808540369887
2020-10-13,OPEN_LONG,11425.8994140625,159570.023412794,MA20/50 Golden Cross,,,
2020-10-27,CLOSE_LONG,13654.21875,190689.9340404952,Take Profit,11425.8994140625,31119.910627701196,0.19502353864545505
2021-04-27,OPEN_SHORT,55033.1171875,190689.9340404952,MA20/50 Death Cross,,,
2021-05-01,CLOSE_SHORT,57828.05078125,181005.47984496204,Stop Loss,55033.1171875,-9684.454195533146,-0.05078639438553973
2021-08-01,OPEN_LONG,39974.89453125,181005.47984496204,MA20/50 Golden Cross,,,
2021-08-09,CLOSE_LONG,46365.40234375,209941.56452056483,Take Profit,39974.89453125,28936.0846756028,0.1598630312208649
2021-09-23,OPEN_SHORT,44895.09765625,209941.56452056483,MA20/50 Death Cross,,,
2021-10-01,CLOSE_SHORT,48116.94140625,194875.35567311308,Stop Loss,44895.09765625,-15066.208847451739,-0.07176382095588284
2021-11-27,OPEN_SHORT,54815.078125,194875.35567311308,MA20/50 Death Cross,,,
2021-11-29,CLOSE_SHORT,57806.56640625,184240.19172294688,Stop Loss,54815.078125,-10635.163950166194,-0.05457418621986138
2022-02-19,OPEN_LONG,40122.15625,184240.19172294688,MA20/50 Golden Cross,,,
2022-02-21,CLOSE_LONG,37075.28125,170248.99866098742,Stop Loss,40122.15625,-13991.19306195947,-0.07593996147702056
2022-03-07,OPEN_SHORT,38062.0390625,170248.99866098742,MA20/50 Death Cross,,,
2022-03-09,CLOSE_SHORT,41982.92578125,152711.13011342392,Stop Loss,38062.0390625,-17537.8685475635,-0.10301304962436943
2022-03-19,OPEN_LONG,42190.65234375,152711.13011342392,MA20/50 Golden Cross,,,
2022-03-20,CLOSE_LONG,41247.82421875,149298.51759209135,Signal Reversal,42190.65234375,-3412.612521332568,-0.02234684871232307
2022-03-20,OPEN_SHORT,41247.82421875,149298.51759209135,MA20/50 Death Cross,,,
2022-03-24,CLOSE_SHORT,43960.93359375,139478.28548470722,Stop Loss,41247.82421875,-9820.23210738413,-0.06577581791009242
2022-04-22,OPEN_SHORT,39740.3203125,139478.28548470722,MA20/50 Death Cross,,,
2022-05-09,CLOSE_SHORT,30296.953125,172622.07129613523,Take Profit,39740.3203125,33143.785811428,0.23762685135000444
2022-07-28,OPEN_LONG,23843.88671875,172622.07129613523,MA20/50 Golden Cross,,,
2022-08-04,CLOSE_LONG,22630.95703125,163840.85045481258,Stop Loss,23843.88671875,-8781.220841322658,-0.05086962967938421
2022-08-29,OPEN_SHORT,20297.994140625,163840.85045481258,MA20/50 Death Cross,,,
2022-09-09,CLOSE_SHORT,21381.15234375,155097.84068017078,Stop Loss,20297.994140625,-8743.009774641814,-0.05336281977523757
2022-10-31,OPEN_LONG,20495.7734375,155097.84068017078,MA20/50 Golden Cross,,,
2022-11-08,CLOSE_LONG,18541.271484375,140307.52142438572,Stop Loss,20495.7734375,-14790.319255785042,-0.09536121967219613
2022-11-14,OPEN_SHORT,16618.19921875,140307.52142438572,MA20/50 Death Cross,,,
2022-12-13,CLOSE_SHORT,17781.318359375,130487.3019412647,Stop Loss,16618.19921875,-9820.219483121022,-0.0699906846292151
2022-12-25,OPEN_LONG,16841.986328125,130487.3019412647,MA20/50 Golden Cross,,,
2023-01-03,CLOSE_LONG,16679.857421875,129231.16961036962,Signal Reversal,16841.986328125,-1256.1323308950812,-0.009626471788500117
2023-01-03,OPEN_SHORT,16679.857421875,129231.16961036962,MA20/50 Death Cross,,,
2023-01-11,CLOSE_SHORT,17934.896484375,119507.45544115432,Stop Loss,16679.857421875,-9723.71416921529,-0.07524279319402719
2023-03-19,OPEN_LONG,28038.67578125,119507.45544115432,MA20/50 Golden Cross,,,
2023-05-08,CLOSE_LONG,27694.2734375,118039.53134692674,Signal Reversal,28038.67578125,-1467.9240942275817,-0.01228311730685614
2023-05-08,OPEN_SHORT,27694.2734375,118039.53134692674,MA20/50 Death Cross,,,
2023-06-21,CLOSE_SHORT,30027.296875,108095.63468520751,Stop Loss,27694.2734375,-9943.896661719238,-0.08424208863125189
2023-08-03,OPEN_SHORT,29178.6796875,108095.63468520751,MA20/50 Death Cross,,,
2023-10-01,CLOSE_SHORT,27983.75,112522.38340577568,Signal Reversal,29178.6796875,4426.748720568174,0.040952150690077384
2023-10-01,OPEN_LONG,27983.75,112522.38340577568,MA20/50 Golden Cross,,,
2023-10-23,CLOSE_LONG,33086.234375,133039.42287209915,Take Profit,27983.75,20517.03946632348,0.18233740563720016
2024-01-24,OPEN_SHORT,40077.07421875,133039.42287209915,MA20/50 Death Cross,,,
